Grappe,Longitude,Latitude
217,47.4791064,-20.06879449
218,47.49990419,-20.21048438
219,47.32112684,-20.35744886
220,47.47498804,-20.34017358
221,47.46769818,-20.42219684
222,47.33099303,-20.46090135
223,46.188891,-20.39133259
224,46.247562,-20.60799468
225,46.66523233,-20.49021012
226,46.90628621,-20.27154474
227,47.00550659,-20.3192399
228,46.96431566,-20.55969069
229,46.83552437,-20.97554004
230,47.09761828,-20.66524539
231,47.09391259,-20.87577808
232,47.01770514,-20.93730581
233,48.02126563,-22.13528039
234,48.00624848,-22.15036969
235,48.35054127,-21.20836777
236,48.3245221,-21.24162008
237,47.77192264,-21.14505776
238,47.51632676,-21.92830905
239,47.8247506,-22.34162654
240,48.00375327,-21.92153468
241,47.8653356,-21.93084824
242,47.9971821,-21.85711452
243,47.76633169,-22.09173443
244,47.82605911,-22.21953336
245,47.72135347,-21.69923593
246,47.73356076,-22.01339285
247,47.93905307,-21.76274781
248,48.06810479,-21.74674442
249,47.74266409,-21.72554506
250,47.7283378,-21.9378037
251,47.86288784,-22.05183586
252,48.29204243,-20.43522115
253,48.41283951,-20.49336303
254,48.11890782,-20.55711089
255,48.04565607560,-20.70589631630
256,48.32493762,-20.59643392
257,48.42428735,-20.70801716
258,48.25036781,-20.80243891
259,48.13089982,-20.7838923
260,48.12092459,-20.89897303
261,48.01043926,-21.07717203
262,47.85652509,-21.09033502
263,48.29843793,-21.1133086
264,47.97885344,-21.19013789
265,48.02171505,-21.34675566
266,48.22060955,-21.606889
267,47.93913434,-21.64268474
268,47.86447507,-20.73086854
269,47.70757218,-20.94739543
270,47.57126909,-21.29463489
271,47.75375976,-21.34556776
272,47.49850532,-21.65848729
273,47.4363327,-21.94436636
274,47.58867625,-22.25068537
275,47.37166891,-22.29851501
276,47.74918212,-22.30545802
277,47.44888417,-22.3326118
278,47.640967,-22.37918283
279,47.84840823,-22.38150576
280,47.90528611,-22.41839914
281,46.13504806,-22.38912147
282,46.12565186,-22.40111223
