hhid;cluster_nb;hh_nb;sample_weight;year;urban_rural;electricity;radio;tv;fridge;motorcycle;car_truck;telephone;recode_toilet;recode_water;recode_floor;rooms_per_person
    03280046;328;46;477459;2016;rural;1;1;0;0;0;0;0;0;1;0;0,142857143
    03320157;332;157;981132;2016;rural;0;1;0;0;0;0;0;0;1;0;1
    01230049;123;49;330890;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    00610217;61;217;471602;2016;rural;0;1;0;0;0;0;0;0;0;0;0,2
    00880043;88;43;335743;2016;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
    02040149;204;149;879247;2016;rural;0;0;0;0;0;0;0;0;0;0;1
    02310114;231;114;1027513;2016;rural;0;1;0;0;0;0;0;0;0;0;0,2
    02070110;207;110;655090;2016;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
    00210052;21;52;450264;2016;rural;0;1;0;0;0;0;0;1;1;0;0,5
    02150103;215;103;1857983;2016;rural;0;1;0;0;0;0;0;0;1;0;0,2
    03510165;351;165;1198552;2016;rural;0;0;0;0;0;0;0;0;0;0;0,2
    02910003;291;3;836635;2016;rural;0;1;0;0;0;0;0;0;0;0;0,166666667
    02840067;284;67;252863;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    00190135;19;135;475120;2016;rural;0;0;0;0;0;0;0;1;1;0;0,2
    00600123;60;123;762142;2016;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
    00190117;19;117;475120;2016;rural;0;1;0;0;0;0;0;0;0;0;0,5
    00200006;20;6;441384;2016;rural;0;1;0;0;0;0;0;0;1;0;0,666666667
    02460130;246;130;200289;2016;rural;0;0;0;0;0;0;0;0;1;0;0,125
    02770134;277;134;583983;2016;rural;0;0;0;0;0;0;0;0;0;0;1
    02440121;244;121;276735;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    03510133;351;133;1198552;2016;rural;0;1;0;0;0;0;0;0;1;0;0,2
    02270099;227;;1443191;2016;urban;0;1;0;0;0;0;0;1;1;0;0,5
    02090182;209;182;648837;2016;urban;1;0;1;0;0;0;0;1;1;0;0,4
    02330195;233;195;1841078;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    00060058;6;58;2370195;2016;rural;0;1;0;0;0;0;0;0;0;0;0,25
    02240116;224;116;1471867;2016;rural;0;0;0;0;0;0;0;1;0;0;0,5
    02380104;238;104;1374570;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    02530233;253;233;586346;2016;rural;0;0;0;0;0;0;0;0;1;0;0,5
    03090218;309;218;680512;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    02800013;280;13;887221;2016;rural;0;0;0;0;0;0;0;0;0;0;0,2
    02370206;237;206;1333717;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    00010104;1;104;3191028;2016;rural;1;0;1;0;0;0;0;1;1;0;0,333333333
    02880147;288;147;2766601;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    03410167;341;167;1756163;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    02180072;218;72;490521;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    03340240;334;240;541604;2016;urban;0;1;0;0;0;0;0;0;0;0;1
    02840062;284;62;252863;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    00420048;42;48;669262;2016;rural;0;1;0;0;0;0;0;1;1;0;0,2
    02280018;228;18;2194340;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    00940066;94;66;1100436;2016;rural;0;0;0;0;0;0;0;0;1;0;0,4
    02280081;228;81;2194340;2016;rural;0;1;0;0;0;0;0;0;1;0;0,5
    02840036;284;36;252863;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    00760080;76;80;850260;2016;rural;0;1;0;0;0;0;0;1;1;0;0,285714286
    02330023;233;23;1841078;2016;rural;0;1;0;0;0;0;0;0;0;0;0,142857143
    00820090;82;90;376021;2016;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
    00540115;54;115;650080;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    00280153;28;153;856656;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    00200027;20;27;441384;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    00590171;59;171;864510;2016;rural;1;1;1;0;0;0;0;0;1;0;0,142857143
    00200090;20;90;441384;2016;rural;0;1;0;0;0;0;0;1;1;0;0,5
    00700176;70;176;1256307;2016;rural;0;0;0;0;0;0;0;1;0;0;1
    02310161;231;161;1027513;2016;rural;0;0;0;0;0;0;0;0;0;0;0,2
    00170139;17;139;422350;2016;rural;0;0;0;0;0;0;0;0;1;0;1
    03500041;350;41;724197;2016;rural;0;1;0;0;0;0;0;0;1;0;0,5
    02700008;270;8;177383;2016;rural;0;1;0;0;0;0;0;0;0;0;0,25
    02740075;274;75;2933043;2016;urban;1;1;1;0;0;0;0;1;1;0;0,166666667
    01200027;120;27;640949;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    01990036;199;36;636382;2016;rural;0;0;0;0;0;0;0;0;1;0;0,125
    00710121;71;121;970654;2016;rural;0;0;0;0;0;0;0;0;0;0;0,2
    00910099;91;;589633;2016;rural;0;0;0;0;0;0;0;1;1;0;0,333333333
    00660085;66;85;1043549;2016;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
    03180091;318;91;183787;2016;urban;1;0;1;0;0;0;0;1;1;0;0,5
    00780187;78;187;1950672;2016;rural;0;0;0;0;0;0;0;1;1;0;0,1
    00780083;78;83;1950672;2016;rural;0;1;0;0;0;0;0;1;1;0;0,2
    00770139;77;139;875372;2016;rural;0;1;0;0;0;0;0;1;0;0;1
    00080054;8;54;3364807;2016;rural;0;0;0;0;0;0;0;0;0;0;0,2
    00910013;91;13;589633;2016;rural;0;1;0;0;0;0;0;0;1;0;0,5
    02340080;234;80;2465642;2016;rural;0;0;0;0;0;0;0;1;0;0;1
    01180124;118;124;607422;2016;rural;0;1;0;0;0;0;0;0;1;0;0,285714286
    02620035;262;35;676884;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    00840154;84;154;524712;2016;rural;0;1;0;0;0;0;0;0;1;0;0,5
    00750048;75;48;1511055;2016;rural;0;1;0;0;0;0;0;0;0;0;1
    00230064;23;64;497688;2016;rural;0;1;0;0;0;0;0;0;0;0;0,142857143
    00170017;17;17;422350;2016;rural;0;1;0;0;0;0;0;0;1;0;0,5
    02800087;280;87;887221;2016;rural;0;0;0;0;0;0;0;0;0;0;0,2
    02760111;276;111;3172842;2016;rural;0;1;0;0;0;0;0;0;0;0;1
    00090144;;144;2793289;2016;rural;1;1;1;0;0;0;0;1;1;0;0,428571429
    00320007;32;7;383487;2016;rural;0;0;0;0;0;0;0;0;1;0;0,375
    00580060;58;60;1236944;2016;rural;0;1;0;0;0;0;0;1;1;0;0,333333333
    00930044;93;44;572627;2016;rural;0;0;0;0;0;0;0;0;0;0;0,75
    00890097;89;97;1054086;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    00300024;30;24;599299;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    02330014;233;14;1841078;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    00820083;82;83;376021;2016;rural;0;1;0;0;0;0;0;0;0;0;1
    02490084;249;84;312047;2016;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
    02840065;284;65;252863;2016;rural;0;0;0;0;0;0;0;0;0;0;1
    02800133;280;133;887221;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    02210087;221;87;1787018;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    01930184;193;184;960511;2016;rural;1;1;0;0;0;0;0;0;1;0;0,333333333
    02030020;203;20;1761332;2016;urban;1;1;1;0;0;0;0;1;1;0;0,142857143
    02370017;237;17;1333717;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    02090133;209;133;648837;2016;urban;0;0;0;0;0;0;0;0;1;0;0,25
    00410117;41;117;843606;2016;rural;0;1;0;0;0;0;0;0;0;0;0,25
    02460085;246;85;200289;2016;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
    02580094;258;94;574758;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    00780168;78;168;1950672;2016;rural;0;1;0;0;0;0;0;1;0;0;0,4
    01190057;119;57;409812;2016;rural;0;0;0;0;0;0;0;0;0;0;0,2
    02380205;238;205;1374570;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    00370040;37;40;462936;2016;rural;0;1;0;0;0;0;0;1;1;0;0,2
    02260073;226;73;1444959;2016;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
    02280066;228;66;2194340;2016;rural;0;1;0;0;0;0;0;0;1;0;0,285714286
    03040026;304;26;880748;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    02660012;266;12;180206;2016;urban;1;1;1;0;0;0;0;0;1;0;0,25
    01070110;107;110;1473039;2016;rural;0;1;0;0;0;0;0;0;0;0;0,2
    02790037;279;37;3379389;2016;rural;0;1;0;0;0;0;0;0;0;0;0,25
    02420081;242;81;128791;2016;urban;0;0;0;0;0;0;0;0;0;0;0,2
    02740121;274;121;2933043;2016;urban;0;0;0;0;0;0;0;0;1;0;0,25
    02210009;221;;1787018;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    00110083;11;83;2276068;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    02210003;221;3;1787018;2016;rural;0;0;0;0;0;0;0;0;1;0;0,5
    02080233;208;233;1254411;2016;rural;0;0;0;0;0;0;0;0;0;0;0,4
    02870164;287;164;1153855;2016;rural;0;0;0;0;0;0;0;0;0;0;0,2
    02370128;237;128;1333717;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    00500036;50;36;303126;2016;urban;1;1;1;0;0;0;0;0;1;0;0,5
    00300274;30;274;599299;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    00370164;37;164;462936;2016;rural;0;1;0;0;0;0;0;0;0;0;1
    02410093;241;93;213602;2016;urban;0;0;0;0;0;0;0;0;1;0;0,25
    03190133;319;133;642841;2016;rural;0;1;0;0;0;0;0;0;0;0;0,25
    00350177;35;177;1363317;2016;rural;0;0;0;0;0;0;0;0;1;0;0,2
    00290104;29;104;504429;2016;rural;0;0;0;0;0;0;0;0;1;0;1
    00360132;36;132;883387;2016;rural;0;1;0;0;0;0;0;0;0;0;1
    00780148;78;148;1950672;2016;rural;0;0;0;0;0;0;0;1;0;0;0,333333333
    00800031;80;31;458446;2016;rural;0;1;0;0;0;0;0;0;1;0;0,2
    00540084;54;84;650080;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    02860165;286;165;1025197;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    02730070;273;70;2261701;2016;urban;1;1;0;0;0;0;0;1;1;0;0,333333333
    02430007;243;7;320757;2016;rural;0;0;0;0;0;0;0;0;1;0;0,4
    00850094;85;94;442576;2016;urban;0;1;1;0;0;0;0;0;1;0;0,5
    00730082;73;82;1432144;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    02260029;226;29;1444959;2016;rural;0;1;0;0;0;0;0;0;0;0;0,25
    02520119;252;119;417220;2016;rural;0;0;0;0;0;0;0;0;1;0;0,090909091
    00210197;21;197;450264;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    02840023;284;23;252863;2016;rural;0;0;0;0;0;0;0;0;1;0;0,2
    00540011;54;11;650080;2016;rural;1;1;0;0;0;0;0;0;1;0;0,333333333
    00190080;19;80;475120;2016;rural;0;1;0;0;0;0;0;0;0;0;0,285714286
    03060007;306;7;65009;2016;urban;0;0;0;0;0;0;0;0;0;0;0,333333333
    00690119;69;119;475703;2016;urban;0;1;0;0;0;0;0;0;0;0;1
    00680054;68;54;1710049;2016;rural;0;1;0;0;0;0;0;0;0;0;0,5
    00720031;72;31;1296508;2016;rural;0;1;0;0;0;0;0;0;0;0;0,2
    00830051;83;51;233325;2016;rural;0;0;0;0;0;0;0;0;1;0;0,166666667
    00690130;69;130;475703;2016;urban;0;0;0;0;0;0;0;0;0;0;0,166666667
    00190024;19;24;475120;2016;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
    02850007;285;7;941891;2016;rural;0;0;0;0;0;0;0;0;0;0;0,076923077
    01960053;196;53;1224691;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    02380118;238;118;1374570;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    00210100;21;100;450264;2016;rural;0;1;0;0;0;0;0;0;1;0;0,2
    00190111;19;111;475120;2016;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
    02480147;248;147;240015;2016;rural;0;0;0;0;0;0;0;0;1;0;0,4
    00460093;46;93;446329;2016;rural;0;1;0;0;0;0;0;0;1;0;0,4
    00430093;43;93;1631092;2016;rural;0;1;0;0;0;0;0;1;0;0;0,25
    00310178;31;178;453592;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    03380106;338;106;846093;2016;rural;0;1;0;0;0;0;0;0;1;0;0,166666667
    03330183;333;183;1280400;2016;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
    00390076;39;76;380186;2016;urban;0;1;0;0;0;0;0;1;0;0;0,2
    00690004;69;4;475703;2016;urban;0;0;0;0;0;0;0;0;1;0;0,5
    01510042;151;42;783355;2016;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
    02040133;204;133;879247;2016;rural;1;1;0;0;0;0;0;0;0;0;0,25
    03080137;308;137;414905;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    02360241;236;241;749018;2016;urban;0;1;0;0;0;0;0;0;1;0;0,2
    01290137;129;137;810280;2016;rural;0;0;0;0;0;0;0;0;1;0;0,5
    02580049;258;49;574758;2016;rural;0;1;0;0;0;0;0;0;0;0;0,5
    03500142;350;142;724197;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    02240089;224;89;1471867;2016;rural;0;0;0;0;0;0;0;0;0;0;1
    02340003;234;3;2465642;2016;rural;0;0;0;0;0;0;0;1;0;0;0,142857143
    02570075;257;75;534159;2016;rural;0;1;0;0;0;0;0;1;1;0;1
    02760101;276;101;3172842;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    02390049;239;49;2216875;2016;rural;0;0;0;0;0;0;0;0;0;0;0,285714286
    00380107;38;107;950580;2016;rural;0;0;0;0;0;0;0;0;1;0;0,2
    00190191;19;191;475120;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    01240113;124;113;933184;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    00190012;19;12;475120;2016;rural;0;1;0;0;0;0;0;0;1;0;0,2
    02080034;208;34;1254411;2016;rural;0;1;0;0;0;0;0;0;0;0;0,2
    02220069;222;69;1537368;2016;rural;0;1;0;0;0;0;0;0;0;0;1
    00780161;78;161;1950672;2016;rural;0;1;0;0;0;0;0;1;0;0;0,166666667
    02750163;275;163;2728852;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    00630036;63;36;771753;2016;rural;0;0;0;0;0;0;0;0;1;0;0,5
    02590055;259;55;555646;2016;rural;0;1;1;1;1;1;1;0;0;0;0,111111111
    01440149;144;149;250014;2016;urban;0;0;0;0;0;0;0;0;1;0;0,333333333
    02690158;269;158;273470;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    00850086;85;86;442576;2016;urban;0;1;0;0;0;0;0;0;0;0;0,125
    03450146;345;146;1254005;2016;rural;1;1;1;0;0;0;0;0;1;0;0,25
    03410025;341;25;1756163;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    00670187;67;187;1117967;2016;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
    00400054;40;54;1870842;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    02240025;224;25;1471867;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    00180167;18;167;677002;2016;rural;0;1;1;0;0;0;0;0;1;0;0,4
    01970014;197;14;220736;2016;urban;1;1;0;0;0;0;0;0;1;0;0,2
    00250077;25;77;594637;2016;rural;0;1;0;0;0;0;0;0;1;0;0,166666667
    03390060;339;60;450565;2016;rural;0;0;0;0;0;0;0;0;1;0;1
    00700080;70;80;1256307;2016;rural;0;0;0;0;0;0;0;0;1;0;0,142857143
    02370076;237;76;1333717;2016;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
    02860054;286;54;1025197;2016;rural;0;0;0;0;0;0;0;0;0;0;0,2
    02290057;229;57;2147839;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    00370087;37;87;462936;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    02790073;279;73;3379389;2016;rural;0;0;0;0;0;0;0;0;0;0;0,125
    02800101;280;101;887221;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    00310047;31;47;453592;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    02610148;261;148;758553;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    02260069;226;69;1444959;2016;rural;0;0;0;0;0;0;0;0;0;0;1
    02000262;200;262;2327556;2016;rural;0;1;1;0;0;0;0;0;1;0;0,2
    02260049;226;49;1444959;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
