cluster_nb,Longitude,Latitude,year,wealth_index
36,47.36789662,-18.7270759,2018.0,0.04870556218745379
37,47.49550542,-18.82537391,2018.0,1.597979951833249
38,47.67683871,-18.65662373,2018.0,1.2114023640061489
39,47.67478969,-18.86543488,2018.0,1.5538473794336523
40,47.60403869,-18.78125096,2018.0,1.4043387027858591
41,47.55375577,-18.86377278,2018.0,1.9655232490132775
42,47.5776189,-18.90520039,2018.0,1.215992774955
43,47.64302345,-18.93345834,2018.0,0.6745202469166345
44,47.46956354,-18.91596632,2018.0,1.969846799765539
45,47.46821216,-18.96695706,2018.0,1.8827106812146601
46,47.53417828,-18.97717529,2018.0,1.0597103299510227
47,47.56491872,-19.07234638,2018.0,0.5419778207782433
48,47.63924286,-19.14623768,2018.0,1.1423198919592472
49,47.03945232,-19.84239082,2018.0,1.8793698871514501
50,47.0322847,-19.84411057,2018.0,1.709132150535318
51,47.00933735,-19.86521389,2018.0,1.0864224181299045
52,47.04315123,-19.86822864,2018.0,1.3449898060256895
53,47.02364689,-19.86935031,2018.0,1.5048804131816977
54,46.99532028,-19.90171616,2018.0,0.8932886120800559
55,47.03513845,-19.87651601,2018.0,1.5730043927727606
56,47.06157483,-19.91034311,2018.0,0.673520935707515
57,47.42853551,-19.3864136,2018.0,1.295626120521734
58,46.8666743,-19.38787165,2018.0,-0.0035297449839635877
59,46.9539171,-19.41507072,2018.0,1.8727545503220486
60,46.31191259,-19.64903072,2018.0,0.2468738094629952
61,47.32282688,-19.66680028,2018.0,1.8235549830538502
62,47.30581591,-19.72685655,2018.0,-0.2899611982033912
63,46.8356285,-19.87129595,2018.0,-0.2138040990009983
64,47.14684098,-19.79829896,2018.0,0.3537045889860173
65,47.35749381,-19.31906913,2018.0,1.5058689019662375
66,47.3238566,-19.36942731,2018.0,0.9723572812813959
67,47.57587653,-19.40861074,2018.0,1.236946593267428
68,47.63057686,-19.5136622,2018.0,-0.446970216190555
69,47.70460523,-19.5829295,2018.0,0.8412865305412436
70,47.0837412,-19.34456725,2018.0,0.793454638686012
71,47.00220925,-19.4840079,2018.0,0.5988903388577944
72,46.81854203,-19.49296203,2018.0,0.4949468623664494
73,46.9615705,-19.60954929,2018.0,-0.13958076762773627
74,46.22630628,-19.60682529,2018.0,0.3464890077807765
