,lat,lon,country,year
168,-21.21226384,46.62957847,Madagascar,2018
169,-21.38218969,47.18663739,Madagascar,2018
170,-21.68497667,47.13308232,Madagascar,2018
171,-21.84422762,46.90729073,Madagascar,2018
172,-22.07047994,47.03357726,Madagascar,2018
173,-21.1433209,47.24005537,Madagascar,2018
174,-21.07160739,47.06576673,Madagascar,2018
175,-20.96322544,47.23570928,Madagascar,2018
176,-21.14030139,47.03935374,Madagascar,2018
177,-20.9729327,47.07668588,Madagascar,2018
178,-20.84019755,47.23226744,Madagascar,2018
179,-20.9905986,46.27768637,Madagascar,2018
180,-21.38757475,46.57280056,Madagascar,2018
181,-21.09649758,46.8654423,Madagascar,2018
182,-21.36160689,46.92981606,Madagascar,2018
183,-21.46875937,46.85040454,Madagascar,2018
184,-21.14148386,46.96869235,Madagascar,2018
185,-21.34772504,47.23989464,Madagascar,2018
186,-21.42090734,47.26178523,Madagascar,2018
187,-21.47472935,47.36117369,Madagascar,2018
188,-21.38893996,47.09987039,Madagascar,2018
189,-21.76053926,47.30021039,Madagascar,2018
190,-21.55192509,46.82416739,Madagascar,2018
191,-21.64465735,46.99582401,Madagascar,2018
192,-21.75449491,47.11142565,Madagascar,2018
193,-21.9256802,47.16069302,Madagascar,2018
194,-21.87159157,47.0458841,Madagascar,2018
195,-21.87280451,46.9801846,Madagascar,2018
196,-21.82453265,46.84357599,Madagascar,2018
197,-21.97932849,46.66808298,Madagascar,2018
198,-21.90272788,46.48838237,Madagascar,2018
199,-21.76633363,46.2807991,Madagascar,2018
200,-20.52217494,47.25430503,Madagascar,2018
201,-20.53794713,47.24647469,Madagascar,2018
202,-20.21489612,47.35050916,Madagascar,2018
203,-20.2306396,47.37708727,Madagascar,2018
204,-20.55028926,46.80291906,Madagascar,2018
205,-20.62990663,46.96859098,Madagascar,2018
206,-20.76804925,47.07446236,Madagascar,2018
207,-20.33531454,47.05811888,Madagascar,2018
208,-20.48465123,47.24508635,Madagascar,2018
209,-20.47903724,47.30579305,Madagascar,2018
210,-20.5385431,47.3392607,Madagascar,2018
211,-20.58506949,47.37160519,Madagascar,2018
212,-20.66950505,47.52175762,Madagascar,2018
213,-20.62886679,47.22079775,Madagascar,2018
214,-20.74278248,47.27595784,Madagascar,2018
215,-20.07935398,47.26887129,Madagascar,2018
216,-20.06879449,47.4791064,Madagascar,2018
217,-20.21048438,47.49990419,Madagascar,2018
218,-20.35744886,47.32112684,Madagascar,2018
219,-20.34017358,47.47498804,Madagascar,2018
220,-20.42219684,47.46769818,Madagascar,2018
221,-20.46090135,47.33099303,Madagascar,2018
222,-20.39133259,46.188891,Madagascar,2018
223,-20.60799468,46.247562,Madagascar,2018
224,-20.49021012,46.66523233,Madagascar,2018
225,-20.27154474,46.90628621,Madagascar,2018
226,-20.3192399,47.00550659,Madagascar,2018
227,-20.55969069,46.96431566,Madagascar,2018
228,-20.97554004,46.83552437,Madagascar,2018
229,-20.66524539,47.09761828,Madagascar,2018
230,-20.87577808,47.09391259,Madagascar,2018
231,-20.93730581,47.01770514,Madagascar,2018
232,-22.13528039,48.02126563,Madagascar,2018
233,-22.15036969,48.00624848,Madagascar,2018
234,-21.20836777,48.35054127,Madagascar,2018
235,-21.24162008,48.3245221,Madagascar,2018
236,-21.14505776,47.77192264,Madagascar,2018
237,-21.92830905,47.51632676,Madagascar,2018
238,-22.34162654,47.8247506,Madagascar,2018
239,-21.92153468,48.00375327,Madagascar,2018
240,-21.93084824,47.8653356,Madagascar,2018
241,-21.85711452,47.9971821,Madagascar,2018
242,-22.09173443,47.76633169,Madagascar,2018
243,-22.21953336,47.82605911,Madagascar,2018
244,-21.69923593,47.72135347,Madagascar,2018
245,-22.01339285,47.73356076,Madagascar,2018
246,-21.76274781,47.93905307,Madagascar,2018
247,-21.74674442,48.06810479,Madagascar,2018
248,-21.72554506,47.74266409,Madagascar,2018
249,-21.9378037,47.7283378,Madagascar,2018
250,-22.05183586,47.86288784,Madagascar,2018
251,-20.43522115,48.29204243,Madagascar,2018
252,-20.49336303,48.41283951,Madagascar,2018
253,-20.55711089,48.11890782,Madagascar,2018
254,-20.70589631630,48.04565607560,Madagascar,2018
255,-20.59643392,48.32493762,Madagascar,2018
256,-20.70801716,48.42428735,Madagascar,2018
257,-20.80243891,48.25036781,Madagascar,2018
258,-20.7838923,48.13089982,Madagascar,2018
259,-20.89897303,48.12092459,Madagascar,2018
260,-21.07717203,48.01043926,Madagascar,2018
261,-21.09033502,47.85652509,Madagascar,2018
262,-21.1133086,48.29843793,Madagascar,2018
263,-21.19013789,47.97885344,Madagascar,2018
264,-21.34675566,48.02171505,Madagascar,2018
265,-21.606889,48.22060955,Madagascar,2018
266,-21.64268474,47.93913434,Madagascar,2018
267,-20.73086854,47.86447507,Madagascar,2018
268,-20.94739543,47.70757218,Madagascar,2018
269,-21.29463489,47.57126909,Madagascar,2018
270,-21.34556776,47.75375976,Madagascar,2018
271,-21.65848729,47.49850532,Madagascar,2018
272,-21.94436636,47.4363327,Madagascar,2018
273,-22.25068537,47.58867625,Madagascar,2018
274,-22.29851501,47.37166891,Madagascar,2018
275,-22.30545802,47.74918212,Madagascar,2018
276,-22.3326118,47.44888417,Madagascar,2018
277,-22.37918283,47.640967,Madagascar,2018
278,-22.38150576,47.84840823,Madagascar,2018
279,-22.41839914,47.90528611,Madagascar,2018
280,-22.38912147,46.13504806,Madagascar,2018
281,-22.40111223,46.12565186,Madagascar,2018
282,-22.40690965,46.11347052,Madagascar,2018
283,-22.49369989,46.86767416,Madagascar,2018
284,-22.56351888,46.80782034,Madagascar,2018
285,-22.99723317,46.66010251,Madagascar,2018
286,-23.15036249,46.45199821,Madagascar,2018
287,-22.26536053,46.27271037,Madagascar,2018
288,-22.42610608,46.41858182,Madagascar,2018
289,-22.34763139,46.301058,Madagascar,2018
290,-22.53364847,46.43271805,Madagascar,2018
291,-22.83064112,46.27553197,Madagascar,2018
292,-22.34454424,46.10853735,Madagascar,2018
293,-22.14443519,46.03601864,Madagascar,2018
294,-22.23583022,46.09894222,Madagascar,2018
295,-22.50335586,45.78193976,Madagascar,2018
296,-22.13528221,45.68350966,Madagascar,2018
297,-22.66336285,45.57785452,Madagascar,2018
298,-22.53896015,45.4854636,Madagascar,2018
299,-21.93750444,45.41393598,Madagascar,2018
300,-22.8948266,45.12741451,Madagascar,2018
301,-22.70821762,45.08493374,Madagascar,2018
302,-22.69956231,45.21521762,Madagascar,2018
303,-21.99272595,46.20569656,Madagascar,2018
304,-22.67751801,46.03901659,Madagascar,2018
305,-22.21024681,46.6772731,Madagascar,2018
306,-22.79544469,46.89903898,Madagascar,2018
307,-22.62846846,46.95063853,Madagascar,2018
308,-22.82206429,46.7220671,Madagascar,2018
309,-22.70533883,46.51649045,Madagascar,2018
310,-22.88924605,46.89689177,Madagascar,2018
311,-23.63127868,46.70084324,Madagascar,2018
312,-22.8236382,47.82684679,Madagascar,2018
313,-22.82286843,47.34981695,Madagascar,2018
314,-23.35194355,47.60942434,Madagascar,2018
315,-23.51490503,47.07747873,Madagascar,2018
316,-23.84776613,46.88187123,Madagascar,2018
317,-22.5754084,47.73965292,Madagascar,2018
318,-22.52888418,47.61802426,Madagascar,2018
319,-22.59280388,47.69196726,Madagascar,2018
320,-22.67819513,47.75314607,Madagascar,2018
321,-22.73087393,47.82026178,Madagascar,2018
322,-22.67707904,47.68938565,Madagascar,2018
323,-22.6676047,47.48727863,Madagascar,2018
324,-22.77052405,47.53421493,Madagascar,2018
325,-22.7330348,47.76206024,Madagascar,2018
326,-22.90649361,47.75650528,Madagascar,2018
327,-22.86715142,47.65724634,Madagascar,2018
328,-22.89080788,47.59493317,Madagascar,2018
329,-23.01218196,47.53630672,Madagascar,2018
330,-23.14330545,47.74290005,Madagascar,2018
331,-23.08309857,47.54685587,Madagascar,2018
332,-22.36344505,47.42101789,Madagascar,2018
333,-22.57482178,47.36081861,Madagascar,2018
334,-22.48675399,47.55328285,Madagascar,2018
335,-22.76233102,47.34505256,Madagascar,2018
336,-23.02280374,47.30999963,Madagascar,2018
337,-23.07231824,47.43711373,Madagascar,2018
338,-23.17999709,47.36260553,Madagascar,2018
339,-23.24391561,47.50334859,Madagascar,2018
340,-23.19378488,47.63915225,Madagascar,2018
341,-23.3025428,47.67147894,Madagascar,2018
342,-23.35875498,47.57180491,Madagascar,2018
343,-23.41402309,47.24055727,Madagascar,2018
344,-23.39176235,47.55239863,Madagascar,2018
345,-23.54918517,47.52545123,Madagascar,2018
346,-23.59186123,47.48058994,Madagascar,2018
347,-23.6692367,47.48330874,Madagascar,2018
348,-23.90637593,47.47477587,Madagascar,2018
349,-23.37628496,46.9397142,Madagascar,2018
350,-23.88353042,46.87206024,Madagascar,2018
351,-23.95401862,46.80189928,Madagascar,2018
352,-18.10946879,49.39634829,Madagascar,2018
